"","Accession_number","ED","Species","Country","City","Host","Collection_date","lat","lon","sum_extracted_values","extracted_temp","extracted_precip","heterogeneity","Geo_location","num_occurrences","DR"
"633","MF175844.1",0.00218437056979535,"Orthoflavivirus nilense","USA"," Montgomery Co. TX","Culex quinquefasciatus","2018-12-31T00:00:00Z",30.301949,-95.5065944,68412,0.704224519262462,226.712872095284,28496.6139534884,"USA:  Montgomery Co. TX",10,457.797781121767
"634","OQ721160.1",0.00218437056979535,"Orthoflavivirus nilense","USA"," Summit, Ohio","","2023-08-02T00:00:00Z",41.1457902,-81.5333603,143,0.704224519262462,81.2322998046875,44915,"USA:  Summit, Ohio",5,457.797781121767
"635","OQ721262.1",0.00316960333132109,"Orthoflavivirus nilense","USA"," Polk, Iowa","Culex restuans","2023-08-02T00:00:00Z",41.6765808,-93.5921448,75,0.704224519262462,91.376708984375,44601,"USA:  Polk, Iowa",46,315.496892030082
"636","OQ721505.1",0.00322339278108348,"Orthoflavivirus nilense","USA"," Larimer, Colorado","Culex pipiens","2023-08-02T00:00:00Z",40.6810174,-105.4726907,138,0.704224519262462,-48.0673828125,18857,"USA:  Larimer, Colorado",94,310.232127424406
"637","OK631660.1",0.00337571627880846,"Orthoflavivirus nilense","USA"," Nassau County, NY","","2022-04-03T00:00:00Z",40.7352994,-73.5615778,10,0.704224519262462,66.66015625,43678,"USA:  Nassau County, NY",1,296.233426451637
"638","OQ721733.1",0.00313173300582784,"Orthoflavivirus nilense","USA"," Rockingham, New Hampshire","Culiseta melanura","2023-08-02T00:00:00Z",42.9966675,-71.1003143,4,0.704224519262462,6.59716796875,36454,"USA:  Rockingham, New Hampshire",21,319.312022493329
"639","OQ721644.1",0.00305553030309276,"Orthoflavivirus nilense","USA"," Cook, Illinois","Culex","2023-08-02T00:00:00Z",41.8197385,-87.756525,6,0.704224519262462,122.620330810547,50955,"USA:  Cook, Illinois",26,327.275432021675
"640","KX547323.1",0.00305553030309276,"Orthoflavivirus nilense","USA"," Westchester Co., NY","Culex","2016-08-02T00:00:00Z",41.1763139,-73.7907554,27,0.704224519262462,26.6135660807292,35887,"USA:  Westchester Co., NY",28,327.275432021675
"641","OQ721517.1",0.0034434083811365,"Orthoflavivirus nilense","USA"," Cook, Illinois","Culex restuans","2023-08-02T00:00:00Z",41.8197385,-87.756525,6,0.704224519262462,122.620330810547,50955,"USA:  Cook, Illinois",26,290.409933796452
"642","OQ721596.1",0.0034434083811365,"Orthoflavivirus nilense","USA"," Polk, Iowa","Culex restuans","2023-08-02T00:00:00Z",41.6765808,-93.5921448,75,0.704224519262462,91.376708984375,44601,"USA:  Polk, Iowa",46,290.409933796452
"643","MF175852.1",0.00322930941386696,"Orthoflavivirus nilense","USA"," Dallas Co. TX","Culex restuans","2018-12-31T00:00:00Z",32.7620405,-96.7790069,79868,0.704224519262462,133.622813177653,31335.118852459,"USA:  Dallas Co. TX",23,309.663730488601
"644","OQ721667.1",0.00316082093075122,"Orthoflavivirus nilense","USA"," Dickinson, Iowa","Culex tarsalis","2023-08-02T00:00:00Z",43.3753018,-95.1654279,25,0.704224519262462,106.297790527343,38756,"USA:  Dickinson, Iowa",1,316.373506094929
"645","OQ721814.1",0.00316082093075122,"Orthoflavivirus nilense","USA"," Polk, Iowa","Culex pipiens","2023-08-02T00:00:00Z",41.6765808,-93.5921448,75,0.704224519262462,91.376708984375,44601,"USA:  Polk, Iowa",46,316.373506094929
"646","OQ721222.1",0.00324916205439285,"Orthoflavivirus nilense","USA"," Polk, Iowa","Culex pipiens","2023-08-02T00:00:00Z",41.6765808,-93.5921448,75,0.704224519262462,91.376708984375,44601,"USA:  Polk, Iowa",46,307.771660280227
"647","OQ721632.1",0.00294337397997948,"Orthoflavivirus nilense","USA"," Black Hawk, Iowa","Culex restuans","2023-08-02T00:00:00Z",42.4607526,-92.3030235,28,0.704224519262462,112.304473876953,37499.5,"USA:  Black Hawk, Iowa",14,339.746157573552
"648","OQ721822.1",0.00294337397997948,"Orthoflavivirus nilense","USA"," Montgomery, Ohio","","2023-08-02T00:00:00Z",39.6837328,-84.2854817,71,0.704224519262462,126.889709472657,38154,"USA:  Montgomery, Ohio",5,339.746157573552
"649","OQ721392.1",0.00305814173033948,"Orthoflavivirus nilense","USA"," EBR, Louisiana","Culex quinquefasciatus","2023-08-02T00:00:00Z",31.00047,-92.0004,82,0.704224519262462,259.636474609375,31046,"USA:  EBR, Louisiana",7,326.99596296637
"650","OQ721428.1",0.00302629676175425,"Orthoflavivirus nilense","USA"," Lorain, Ohio","","2023-08-02T00:00:00Z",41.4673238,-82.1781904,29,0.704224519262462,66.3280029296875,48736,"USA:  Lorain, Ohio",2,330.43686020413
"651","OQ721504.1",0.00302629676175425,"Orthoflavivirus nilense","USA"," Larimer, Colorado","Culex tarsalis","2023-08-02T00:00:00Z",40.6810174,-105.4726907,138,0.704224519262462,-48.0673828125,18857,"USA:  Larimer, Colorado",94,330.43686020413
"652","OQ721336.1",0.00299393463423178,"Orthoflavivirus nilense","USA"," Larimer, Colorado","Culex tarsalis","2023-08-02T00:00:00Z",40.6810174,-105.4726907,138,0.704224519262462,-48.0673828125,18857,"USA:  Larimer, Colorado",94,334.008628166523
"653","OQ721226.1",0.00299393463423178,"Orthoflavivirus nilense","USA"," EBR, Louisiana","Culex quinquefasciatus","2023-08-02T00:00:00Z",31.00047,-92.0004,82,0.704224519262462,259.636474609375,31046,"USA:  EBR, Louisiana",7,334.008628166523
"654","OK573267.1",0.00304701031256854,"Orthoflavivirus nilense","USA"," MD","Homo sapiens","2022-07-30T00:00:00Z",39.5162401,-76.9382069,46503,0.704224519262462,76.0847852528941,34072.4898785425,"USA:  MD",22,328.190553171128
"655","OQ721416.1",0.00302573401690237,"Orthoflavivirus nilense","USA"," Larimer, Colorado","Culex pipiens","2023-08-02T00:00:00Z",40.6810174,-105.4726907,138,0.704224519262462,-48.0673828125,18857,"USA:  Larimer, Colorado",94,330.498316908821
"656","OQ721373.1",0.00289807799966235,"Orthoflavivirus nilense","USA"," Pottawattamie, Iowa","Culex pipiens","2023-08-02T00:00:00Z",41.3115686,-95.5331269,0,0.704224519262462,45.2100524902343,36134,"USA:  Pottawattamie, Iowa",21,345.056275268129
"657","OQ721183.1",0.00289807799966235,"Orthoflavivirus nilense","USA"," Story, Iowa","Culex restuans","2023-08-02T00:00:00Z",42.0161612,-93.489194,18,0.704224519262462,113.511596679688,37319,"USA:  Story, Iowa",17,345.056275268129
"658","OQ721337.1",0.00254163059624551,"Orthoflavivirus nilense","USA"," Black Hawk, Iowa","Culex pipiens","2023-08-02T00:00:00Z",42.4607526,-92.3030235,28,0.704224519262462,112.304473876953,37499.5,"USA:  Black Hawk, Iowa",14,393.448206626563
"659","OQ721263.1",0.00254163059624551,"Orthoflavivirus nilense","USA"," Polk, Iowa","Culex pipiens","2023-08-02T00:00:00Z",41.6765808,-93.5921448,75,0.704224519262462,91.376708984375,44601,"USA:  Polk, Iowa",46,393.448206626563
"660","OQ721377.1",0.00243118957903345,"Orthoflavivirus nilense","USA"," Rockingham, New Hampshire","Culex restuans","2023-08-02T00:00:00Z",42.9966675,-71.1003143,4,0.704224519262462,6.59716796875,36454,"USA:  Rockingham, New Hampshire",21,411.321276063367
"661","OQ721817.1",0.002310189044427,"Orthoflavivirus nilense","USA"," Story, Iowa","Culex pipiens","2023-08-02T00:00:00Z",42.0161612,-93.489194,18,0.704224519262462,113.511596679688,37319,"USA:  Story, Iowa",17,432.865008347415
"662","OQ721813.1",0.002310189044427,"Orthoflavivirus nilense","USA"," Williams, Ohio","","2023-08-02T00:00:00Z",41.5018224,-84.5923785,23,0.704224519262462,41.8204345703125,38592.5,"USA:  Williams, Ohio",3,432.865008347415
"663","OQ721150.1",0.00282224789409615,"Orthoflavivirus nilense","USA"," Larimer, Colorado","Culex pipiens","2023-08-02T00:00:00Z",40.6810174,-105.4726907,138,0.704224519262462,-48.0673828125,18857,"USA:  Larimer, Colorado",94,354.327485580518
"664","OQ721558.1",0.00281603183578407,"Orthoflavivirus nilense","USA"," Montgomery, Ohio","","2023-08-02T00:00:00Z",39.6837328,-84.2854817,71,0.704224519262462,126.889709472657,38154,"USA:  Montgomery, Ohio",5,355.109621735356
"665","OQ721343.1",0.00186331894970685,"Orthoflavivirus nilense","USA"," Black Hawk, Iowa","Culex restuans","2023-08-02T00:00:00Z",42.4607526,-92.3030235,28,0.704224519262462,112.304473876953,37499.5,"USA:  Black Hawk, Iowa",14,536.67677246417
"666","OQ721417.1",0.00186331894970685,"Orthoflavivirus nilense","USA"," Black Hawk, Iowa","Culex pipiens","2023-08-02T00:00:00Z",42.4607526,-92.3030235,28,0.704224519262462,112.304473876953,37499.5,"USA:  Black Hawk, Iowa",14,536.67677246417
"667","OQ721604.1",0.00281113305331003,"Orthoflavivirus nilense","USA"," nan, Iowa","","2023-08-02T00:00:00Z",41.5726481,-93.7091125,53,0.704224519262462,79.4233805338542,50183,"USA:  nan, Iowa",1,355.728448649035
"668","OQ721146.1",0.00303511281977924,"Orthoflavivirus nilense","USA"," Allen, Louisiana","Culex quinquefasciatus","2023-08-02T00:00:00Z",30.6558242,-92.8598049,4,0.704224519262462,256.876525878906,28145.25,"USA:  Allen, Louisiana",6,329.477043977803
"669","OQ721440.1",0.00302161528211059,"Orthoflavivirus nilense","USA"," Larimer, Colorado","Culex tarsalis","2023-08-02T00:00:00Z",40.6810174,-105.4726907,138,0.704224519262462,-48.0673828125,18857,"USA:  Larimer, Colorado",94,330.948815992717
"670","OQ721409.1",0.00288701872724522,"Orthoflavivirus nilense","USA"," Polk, Iowa","Culex restuans","2023-08-02T00:00:00Z",41.6765808,-93.5921448,75,0.704224519262462,91.376708984375,44601,"USA:  Polk, Iowa",46,346.378078729748
"671","OQ721329.1",0.00288701872724522,"Orthoflavivirus nilense","USA"," Black Hawk, Iowa","Culex restuans","2023-08-02T00:00:00Z",42.4607526,-92.3030235,28,0.704224519262462,112.304473876953,37499.5,"USA:  Black Hawk, Iowa",14,346.378078729748
"672","OQ721186.1",0.0030436054300199,"Orthoflavivirus nilense","USA"," Tangipahoa, Louisiana","Culex quinquefasciatus","2023-08-02T00:00:00Z",30.6323024,-90.4315754,61,0.704224519262462,308.074788411458,27479,"USA:  Tangipahoa, Louisiana",2,328.557700067404
"673","OQ721554.1",0.00326941306994825,"Orthoflavivirus nilense","USA"," Monona, Iowa","Culex restuans","2023-08-02T00:00:00Z",42.0218737,-95.9356631,75,0.704224519262462,48.1342163085938,41452,"USA:  Monona, Iowa",2,305.8652971054
"674","OQ721214.1",0.0030680390416469,"Orthoflavivirus nilense","USA"," Bossier, Louisiana","Culex quinquefasciatus","2023-08-02T00:00:00Z",32.6676663,-93.5959786,22,0.704224519262462,219.066284179687,33864,"USA:  Bossier, Louisiana",3,325.941093455971
"675","OQ721480.1",0.00294044432153796,"Orthoflavivirus nilense","USA"," EBR, Louisiana","Culex quinquefasciatus","2023-08-02T00:00:00Z",31.00047,-92.0004,82,0.704224519262462,259.636474609375,31046,"USA:  EBR, Louisiana",7,340.084657504061
"676","KX547227.1",0.00294044432153796,"Orthoflavivirus nilense","USA"," Erie Co., NY","Culex","2016-08-02T00:00:00Z",42.7164263,-78.7620327,113,0.704224519262462,16.881103515625,40860.75,"USA:  Erie Co., NY",34,340.084657504061
"677","OQ721342.1",0.00297314631973597,"Orthoflavivirus nilense","USA"," Larimer, Colorado","Culex pipiens","2023-08-02T00:00:00Z",40.6810174,-105.4726907,138,0.704224519262462,-48.0673828125,18857,"USA:  Larimer, Colorado",94,336.344024968406
"678","OQ721327.1",0.00297314631973597,"Orthoflavivirus nilense","USA"," Larimer, Colorado","Culex pipiens","2023-08-02T00:00:00Z",40.6810174,-105.4726907,138,0.704224519262462,-48.0673828125,18857,"USA:  Larimer, Colorado",94,336.344024968406
"679","OQ721501.1",0.00314720095976758,"Orthoflavivirus nilense","USA"," Lucas, Ohio","","2023-08-02T00:00:00Z",41.6508446,-83.621321,4,0.704224519262462,35.0709431966146,47396.6666666667,"USA:  Lucas, Ohio",6,317.74265856663
"680","OQ721117.1",0.00327916540461343,"Orthoflavivirus nilense","USA"," Lucas, Ohio","","2023-08-02T00:00:00Z",41.6508446,-83.621321,4,0.704224519262462,35.0709431966146,47396.6666666667,"USA:  Lucas, Ohio",6,304.955644687246
"681","OQ721454.1",0.00261561566507249,"Orthoflavivirus nilense","USA"," Woodbury, Iowa","Culex restuans","2023-08-02T00:00:00Z",42.3775361,-96.0607187,12,0.704224519262462,72.1097106933594,45237,"USA:  Woodbury, Iowa",10,382.31916613494
"682","OQ721294.1",0.00261561566507249,"Orthoflavivirus nilense","USA"," Pottawattamie, Iowa","Culex restuans","2023-08-02T00:00:00Z",41.3115686,-95.5331269,0,0.704224519262462,45.2100524902343,36134,"USA:  Pottawattamie, Iowa",21,382.31916613494
"683","OQ721413.1",0.0032505557770744,"Orthoflavivirus nilense","USA"," Black Hawk, Iowa","Culex restuans","2023-08-02T00:00:00Z",42.4607526,-92.3030235,28,0.704224519262462,112.304473876953,37499.5,"USA:  Black Hawk, Iowa",14,307.639698741005
"684","OQ721749.1",0.00348448458803751,"Orthoflavivirus nilense","USA"," Rockingham, New Hampshire","Culex pipiens","2023-08-02T00:00:00Z",42.9966675,-71.1003143,4,0.704224519262462,6.59716796875,36454,"USA:  Rockingham, New Hampshire",21,286.986489603964
"685","KX547358.1",0.00320233401253149,"Orthoflavivirus nilense","USA"," Rockland Co., NY","Culex","2016-08-02T00:00:00Z",41.1519319,-74.0357266,44,0.704224519262462,21.4877319335938,36103,"USA:  Rockland Co., NY",31,312.272235215554
"686","KX547283.1",0.00313717835851663,"Orthoflavivirus nilense","USA"," Nassau Co., NY","Aedes sp.","2016-08-02T00:00:00Z",40.7352994,-73.5615778,10,0.704224519262462,66.66015625,43678,"USA:  Nassau Co., NY",38,318.757777123273
"687","JF920747.1",0.00306671402269977,"Orthoflavivirus nilense","USA"," Connecticut","Culex salinarius","2011-05-17T00:00:00Z",41.6500201,-72.7342163,8568,0.704224519262462,12.5679208260994,34556.6373056995,"USA:  Connecticut",178,326.081921104484
"688","MF175848.1",0.00306671402269977,"Orthoflavivirus nilense","USA"," Collin Co. TX","Culex quinquefasciatus","2018-12-31T00:00:00Z",33.1609629,-96.6060984,81794,0.704224519262462,134.461948931499,31246.2745901639,"USA:  Collin Co. TX",6,326.081921104484
"689","KX547373.1",0.00295357516985836,"Orthoflavivirus nilense","USA"," Niagara Co., NY","Corvus brachyrhynchos","2016-08-02T00:00:00Z",43.2042439,-78.7676017,129,0.704224519262462,10.8241577148438,46235,"USA:  Niagara Co., NY",15,338.572727115645
"690","MF175813.1",0.00292914513949301,"Orthoflavivirus nilense","USA"," Dallas Co. TX","Culex quinquefasciatus","2018-12-31T00:00:00Z",32.7620405,-96.7790069,79868,0.704224519262462,133.622813177653,31335.118852459,"USA:  Dallas Co. TX",23,341.396534612513
"691","KX547279.1",0.00139237984767846,"Orthoflavivirus nilense","USA"," Suffolk Co., NY","Culex","2016-08-02T00:00:00Z",40.8832318,-72.8578027,47,0.704224519262462,62.630615234375,41925,"USA:  Suffolk Co., NY",63,718.194824255263
"692","HM488206.1",0.00139237984767846,"Orthoflavivirus nilense","USA"," New York","Corvus brachyrhynchos","2010-07-28T00:00:00Z",40.7127281,-74.0060152,13972,0.704224519262462,31.6479328588108,34805.5593220339,"USA:  New York",73,718.194824255263
"693","KX547537.1",0.00139665843357957,"Orthoflavivirus nilense","USA"," Suffolk Co., NY","Culex","2016-08-02T00:00:00Z",40.8832318,-72.8578027,47,0.704224519262462,62.630615234375,41925,"USA:  Suffolk Co., NY",63,715.994674114446
"694","MF175860.1",0.00279790489627525,"Orthoflavivirus nilense","USA"," Denton Co. TX","Culex quinquefasciatus","2018-12-31T00:00:00Z",33.1838787,-97.1413417,73736,0.704224519262462,125.470155253555,31051.6352459016,"USA:  Denton Co. TX",12,357.410289867702
"695","KX547557.1",0.00185197858518879,"Orthoflavivirus nilense","USA"," Suffolk Co., NY","Cyanocitta cristata","2016-08-02T00:00:00Z",40.8832318,-72.8578027,47,0.704224519262462,62.630615234375,41925,"USA:  Suffolk Co., NY",63,539.963047087858
"696","KX547425.1",0.00185197858518879,"Orthoflavivirus nilense","USA"," Suffolk Co., NY","Cyanocitta cristata","2016-08-02T00:00:00Z",40.8832318,-72.8578027,47,0.704224519262462,62.630615234375,41925,"USA:  Suffolk Co., NY",63,539.963047087858
"697","OQ721496.1",0.00285379285927811,"Orthoflavivirus nilense","USA"," Walla, Washington","Galliformes","2023-08-02T00:00:00Z",46.2055155,-118.5174284,95,0.704224519262462,-55.999740600586,53167.5,"USA:  Walla, Washington",1,350.410856467332
"698","KX547483.1",0.00285379285927811,"Orthoflavivirus nilense","USA"," Nassau Co., NY","Culex","2016-08-02T00:00:00Z",40.7352994,-73.5615778,10,0.704224519262462,66.66015625,43678,"USA:  Nassau Co., NY",38,350.410856467332
"699","KX547376.1",0.00302405206659187,"Orthoflavivirus nilense","USA"," Erie Co., NY","Culex","2016-08-02T00:00:00Z",42.7164263,-78.7620327,113,0.704224519262462,16.881103515625,40860.75,"USA:  Erie Co., NY",34,330.682137072794
"700","OQ721456.1",0.00318084268437013,"Orthoflavivirus nilense","USA"," Woodbury, Iowa","Culex restuans","2023-08-02T00:00:00Z",42.3775361,-96.0607187,12,0.704224519262462,72.1097106933594,45237,"USA:  Woodbury, Iowa",10,314.382099093976
"701","OQ721675.1",0.0030608320791283,"Orthoflavivirus nilense","USA"," Cook, Illinois","Culex","2023-08-02T00:00:00Z",41.8197385,-87.756525,6,0.704224519262462,122.620330810547,50955,"USA:  Cook, Illinois",26,326.708546613505
"702","OQ721396.1",0.0030608320791283,"Orthoflavivirus nilense","USA"," Black Hawk, Iowa","Culex restuans","2023-08-02T00:00:00Z",42.4607526,-92.3030235,28,0.704224519262462,112.304473876953,37499.5,"USA:  Black Hawk, Iowa",14,326.708546613505
"703","OQ721153.1",0.00306476434260091,"Orthoflavivirus nilense","USA"," Woodbury, Iowa","Culex pipiens","2023-08-02T00:00:00Z",42.3775361,-96.0607187,12,0.704224519262462,72.1097106933594,45237,"USA:  Woodbury, Iowa",10,326.289361338415
"704","OQ721159.1",0.00307511924259766,"Orthoflavivirus nilense","USA"," Pottawattamie, Iowa","Culex restuans","2023-08-02T00:00:00Z",41.3115686,-95.5331269,0,0.704224519262462,45.2100524902343,36134,"USA:  Pottawattamie, Iowa",21,325.190641763624
"705","OQ721218.1",0.00352802439892799,"Orthoflavivirus nilense","USA"," Pottawattamie, Iowa","Culex restuans","2023-08-02T00:00:00Z",41.3115686,-95.5331269,0,0.704224519262462,45.2100524902343,36134,"USA:  Pottawattamie, Iowa",21,283.444751772084
"706","OQ721521.1",0.00285974407193049,"Orthoflavivirus nilense","USA"," Larimer, Colorado","Culex pipiens","2023-08-02T00:00:00Z",40.6810174,-105.4726907,138,0.704224519262462,-48.0673828125,18857,"USA:  Larimer, Colorado",94,349.681641030535
"707","KM012178.1",0.00231499268692701,"Orthoflavivirus nilense","USA"," TX","Homo sapiens","2016-05-25T00:00:00Z",31.2638905,-98.5456116,59607,0.704224519262462,104.833542606545,23983.4957983193,"USA:  TX",8,431.966807345482
"708","OQ721559.1",0.00231499268692701,"Orthoflavivirus nilense","USA"," Larimer, Colorado","Culex pipiens","2023-08-02T00:00:00Z",40.6810174,-105.4726907,138,0.704224519262462,-48.0673828125,18857,"USA:  Larimer, Colorado",94,431.966807345482
"709","KM012183.1",0.00230507657859459,"Orthoflavivirus nilense","USA"," TX","Homo sapiens","2016-05-25T00:00:00Z",31.2638905,-98.5456116,59607,0.704224519262462,104.833542606545,23983.4957983193,"USA:  TX",8,433.825066501566
"710","KC333384.1",0.00224543080031737,"Orthoflavivirus nilense","USA"," Harris Co., Texas","Lanius ludovicianus","2013-09-25T00:00:00Z",29.7044011,-96.5419157,212,0.704224519262462,165.813934326172,28280,"USA:  Harris Co., Texas",6,445.348839010608
"711","KM012177.1",0.0022081695113689,"Orthoflavivirus nilense","USA"," WY","Homo sapiens","2016-05-25T00:00:00Z",43.1700264,-107.568534,54543,0.704224519262462,16.5808707862502,17426.2652329749,"USA:  WY",1,452.863783713812
"712","OQ721147.1",0.00208996207235359,"Orthoflavivirus nilense","USA"," Larimer, Colorado","Culex tarsalis","2023-08-02T00:00:00Z",40.6810174,-105.4726907,138,0.704224519262462,-48.0673828125,18857,"USA:  Larimer, Colorado",94,478.477582549552
"713","KC736486.1",0.00199706572520486,"Orthoflavivirus nilense","USA"," Texas","Culex quinquefasciatus","2013-06-19T00:00:00Z",31.2638905,-98.5456116,59607,0.704224519262462,104.833542606545,23983.4957983193,"USA:  Texas",44,500.734646526176
"714","KM012180.1",0.00199141172361712,"Orthoflavivirus nilense","USA"," GA","Homo sapiens","2016-05-25T00:00:00Z",32.3293809,-83.1137366,24374,0.704224519262462,114.085142582798,30884.1280991736,"USA:  GA",3,502.15632866901
"715","KC711059.1",0.00199141172361712,"Orthoflavivirus nilense","USA"," Fairview, Collin Co., Texas","Culex restuans","2013-09-23T00:00:00Z",31.13111,-97.736838,89,0.704224519262462,117.2578125,28780,"USA:  Fairview, Collin Co., Texas",1,502.15632866901
"716","MF175806.1",0.00234613225418244,"Orthoflavivirus nilense","USA"," Denton Co. TX","Culex quinquefasciatus","2018-12-31T00:00:00Z",33.1838787,-97.1413417,73736,0.704224519262462,125.470155253555,31051.6352459016,"USA:  Denton Co. TX",12,426.233430880678
"717","OQ721706.1",0.00235156815749326,"Orthoflavivirus nilense","USA"," Black Hawk, Iowa","Culex pipiens","2023-08-02T00:00:00Z",42.4607526,-92.3030235,28,0.704224519262462,112.304473876953,37499.5,"USA:  Black Hawk, Iowa",14,425.248146354383
"718","OQ721250.1",0.00239666642368688,"Orthoflavivirus nilense","USA"," Larimer, Colorado","Culex pipiens","2023-08-02T00:00:00Z",40.6810174,-105.4726907,138,0.704224519262462,-48.0673828125,18857,"USA:  Larimer, Colorado",94,417.246217544811
"719","MF175807.1",0.0020588050056756,"Orthoflavivirus nilense","USA"," Ellis Co. TX","Culex quinquefasciatus","2018-12-31T00:00:00Z",32.3347829,-96.7920233,77202,0.704224519262462,135.317801589601,31029.118852459,"USA:  Ellis Co. TX",1,485.718655843199
"720","KM012187.1",0.00205344715711379,"Orthoflavivirus nilense","USA"," NE","Homo sapiens","2016-05-25T00:00:00Z",41.7370229,-99.5873816,74774,0.704224519262462,16.9300424919964,37730.856617647,"USA:  NE",2,486.985991597437
"721","MF175833.1",0.00205344715711379,"Orthoflavivirus nilense","USA"," Dallas Co. TX","Culex quinquefasciatus","2018-12-31T00:00:00Z",32.7620405,-96.7790069,79868,0.704224519262462,133.622813177653,31335.118852459,"USA:  Dallas Co. TX",23,486.985991597437
"722","OQ721356.1",0.00130364698229309,"Orthoflavivirus nilense","USA"," Larimer, Colorado","Culex tarsalis","2023-08-02T00:00:00Z",40.6810174,-105.4726907,138,0.704224519262462,-48.0673828125,18857,"USA:  Larimer, Colorado",94,767.078828534563
"723","OQ721443.1",0.00130364698229309,"Orthoflavivirus nilense","USA"," Larimer, Colorado","Culex tarsalis","2023-08-02T00:00:00Z",40.6810174,-105.4726907,138,0.704224519262462,-48.0673828125,18857,"USA:  Larimer, Colorado",94,767.078828534563
"724","OQ721360.1",0.00205139968155727,"Orthoflavivirus nilense","USA"," Polk, Iowa","Culex restuans","2023-08-02T00:00:00Z",41.6765808,-93.5921448,75,0.704224519262462,91.376708984375,44601,"USA:  Polk, Iowa",46,487.472046032919
"725","KM012176.1",0.00206644531891822,"Orthoflavivirus nilense","USA"," ND","Homo sapiens","2016-05-25T00:00:00Z",47.6201461,-100.540737,49726,0.704224519262462,30.5914156040469,38482.1881188119,"USA:  ND",2,483.922797687915
"726","OQ721599.1",0.00206644531891822,"Orthoflavivirus nilense","USA"," Larimer, Colorado","Culex tarsalis","2023-08-02T00:00:00Z",40.6810174,-105.4726907,138,0.704224519262462,-48.0673828125,18857,"USA:  Larimer, Colorado",94,483.922797687915
"727","OQ721771.1",0.00233608719303662,"Orthoflavivirus nilense","USA"," Larimer, Colorado","Culex tarsalis","2023-08-02T00:00:00Z",40.6810174,-105.4726907,138,0.704224519262462,-48.0673828125,18857,"USA:  Larimer, Colorado",94,428.066213872833
"728","OQ721600.1",0.00233608719303662,"Orthoflavivirus nilense","USA"," San Diego, California","Corvus brachyrhynchos","2023-08-02T00:00:00Z",32.7174202,-117.1627728,44,0.704224519262462,17.9892501831055,34426.25,"USA:  San Diego, California",61,428.066213872833
"729","OQ721642.1",0.00218205486468342,"Orthoflavivirus nilense","USA"," Larimer, Colorado","Culex tarsalis","2023-08-02T00:00:00Z",40.6810174,-105.4726907,138,0.704224519262462,-48.0673828125,18857,"USA:  Larimer, Colorado",94,458.28361888833
"730","KC736492.1",0.00218205486468342,"Orthoflavivirus nilense","USA"," Texas","Culex quinquefasciatus","2013-06-19T00:00:00Z",31.2638905,-98.5456116,59607,0.704224519262462,104.833542606545,23983.4957983193,"USA:  Texas",44,458.28361888833
"731","OQ721444.1",0.00221189416454065,"Orthoflavivirus nilense","USA"," Story, Iowa","Culex restuans","2023-08-02T00:00:00Z",42.0161612,-93.489194,18,0.704224519262462,113.511596679688,37319,"USA:  Story, Iowa",17,452.101197259441
"732","OK573271.1",0.00221189416454065,"Orthoflavivirus nilense","USA"," MD","Homo sapiens","2022-07-30T00:00:00Z",39.5162401,-76.9382069,46503,0.704224519262462,76.0847852528941,34072.4898785425,"USA:  MD",22,452.101197259441
"733","MF175819.1",0.0022667707805726,"Orthoflavivirus nilense","USA"," Dallas Co. TX","Culex quinquefasciatus","2018-12-31T00:00:00Z",32.7620405,-96.7790069,79868,0.704224519262462,133.622813177653,31335.118852459,"USA:  Dallas Co. TX",23,441.156207134184
"734","MH507981.1",0.00237764087866456,"Orthoflavivirus nilense","USA"," San_Diego,California","Corvus brachyrhynchos","2019-01-20T00:00:00Z",32.7174202,-117.1627728,44,0.704224519262462,17.9892501831055,34426.25,"USA:  San_Diego,California",59,420.584962587649
"735","MF175830.1",0.00241226287666702,"Orthoflavivirus nilense","USA"," Montgomery Co. TX","Culex quinquefasciatus","2018-12-31T00:00:00Z",30.301949,-95.5065944,68412,0.704224519262462,226.712872095284,28496.6139534884,"USA:  Montgomery Co. TX",10,414.548517772524
"736","MF175851.1",0.00240004088880644,"Orthoflavivirus nilense","USA"," Fort Bend Co. TX","Culex quinquefasciatus","2018-12-31T00:00:00Z",29.511218,-95.7807348,56370,0.704224519262462,213.783152642257,27821.9590643275,"USA:  Fort Bend Co. TX",8,416.659568036488
"737","MF175869.1",0.00240004088880644,"Orthoflavivirus nilense","USA"," Travis Co. TX","Culex quinquefasciatus","2018-12-31T00:00:00Z",30.2878569,-97.7561392,78629,0.704224519262462,133.875551223755,24939.1324786325,"USA:  Travis Co. TX",3,416.659568036488
"738","OQ721276.1",0.00241773309714551,"Orthoflavivirus nilense","USA"," Larimer, Colorado","Culex tarsalis","2023-08-02T00:00:00Z",40.6810174,-105.4726907,138,0.704224519262462,-48.0673828125,18857,"USA:  Larimer, Colorado",94,413.610584717001
"739","OQ721189.1",0.00273200900840325,"Orthoflavivirus nilense","USA"," Larimer, Colorado","Culex tarsalis","2023-08-02T00:00:00Z",40.6810174,-105.4726907,138,0.704224519262462,-48.0673828125,18857,"USA:  Larimer, Colorado",94,366.031003896455
"740","OK573266.1",0.00273200900840325,"Orthoflavivirus nilense","USA"," MD","Homo sapiens","2022-07-30T00:00:00Z",39.5162401,-76.9382069,46503,0.704224519262462,76.0847852528941,34072.4898785425,"USA:  MD",22,366.031003896455
