Accession,Organism_Name,Release_Date,Species,Length,Geo_Location,Host,Collection_Date
KF234080.1,West Nile virus,2013-09-25,Orthoflavivirus nilense,11030,Italy: Emilia-Romagna region,Homo sapiens,2009
OP734273.1,West Nile virus,2023-05-09,Orthoflavivirus nilense,10949,Italy: Friuli Venezia Giulia,Culex pipiens,2022-07-21
ON032491.1,West Nile virus,2023-02-07,Orthoflavivirus nilense,10999,Italy: Lombardi region,Corvus cornix,2021-08-18
KF823806.1,West Nile virus,2015-01-29,Orthoflavivirus nilense,10975,"Italy: Lombardia region, Mantova",Homo sapiens,2013-10
OP734240.1,West Nile virus,2023-05-09,Orthoflavivirus nilense,10913,Italy: Piemonte,Culex pipiens,2022-08-18
OP734241.1,West Nile virus,2023-05-09,Orthoflavivirus nilense,10912,Italy: Piemonte,Culex pipiens,2022-08-25
ON813233.1,West Nile virus,2023-03-20,Orthoflavivirus nilense,11028,Italy: Piemonte region,Accipiter gentilis,2022
ON032488.1,West Nile virus,2023-02-07,Orthoflavivirus nilense,10968,Italy: Piemonte region,Corvus cornix,2020-09-07
ON032489.1,West Nile virus,2023-02-07,Orthoflavivirus nilense,10984,Italy: Piemonte region,Accipiter gentilis,2020-09-01
ON032490.1,West Nile virus,2023-02-07,Orthoflavivirus nilense,10980,Italy: Piemonte region,Accipiter gentilis,2021-08-19
ON032494.1,West Nile virus,2023-02-07,Orthoflavivirus nilense,10999,Italy: Sardegna region,Accipiter gentilis,2021-08-10
ON813232.1,West Nile virus,2023-03-20,Orthoflavivirus nilense,10926,Italy: Sardinia region,Accipiter gentilis,2021
OQ689696.1,West Nile virus,2023-07-29,Orthoflavivirus nilense,11022,Italy: Sicily,Equus caballus,2022-10-21
OQ689697.1,West Nile virus,2023-07-29,Orthoflavivirus nilense,10961,Italy: Sicily,Equus caballus,2022-10-12
OQ204315.1,West Nile virus,2023-06-13,Orthoflavivirus nilense,10932,Italy: Sicily,Equus caballus,2022-11-02
OQ204314.1,West Nile virus,2023-06-13,Orthoflavivirus nilense,10939,Italy: Tuscany,Culex pipiens,2022-10-07
ON032498.1,West Nile virus,2023-02-07,Orthoflavivirus nilense,10991,Italy: Umbria region,Accipiter gentilis,2022-01-25
OP734244.1,West Nile virus,2023-05-09,Orthoflavivirus nilense,10914,Italy: Veneto,Passer domesticus,2022-09-09
OP734262.1,West Nile virus,2023-05-09,Orthoflavivirus nilense,10975,Italy: Veneto,Culex pipiens,2022-06-21
OP734263.1,West Nile virus,2023-05-09,Orthoflavivirus nilense,10967,Italy: Veneto,Culex pipiens,2022-07-07
OP734264.1,West Nile virus,2023-05-09,Orthoflavivirus nilense,11016,Italy: Veneto,Pica pica,2022-06-28
OP734265.1,West Nile virus,2023-05-09,Orthoflavivirus nilense,10961,Italy: Veneto,Phalacrocorax carbo,2022-07-07
OP734268.1,West Nile virus,2023-05-09,Orthoflavivirus nilense,10960,Italy: Veneto,Culex pipiens,2022-07-07
OP734269.1,West Nile virus,2023-05-09,Orthoflavivirus nilense,10966,Italy: Veneto,,2022-07-18
OP734271.1,West Nile virus,2023-05-09,Orthoflavivirus nilense,10960,Italy: Veneto,Corvus cornix,2022-07-13
OP734272.1,West Nile virus,2023-05-09,Orthoflavivirus nilense,10962,Italy: Veneto,Passer domesticus,2022-07-04
OP734274.1,West Nile virus,2023-05-09,Orthoflavivirus nilense,10966,Italy: Veneto,Culex pipiens,2022-07-14
KF647251.1,West Nile virus,2013-12-08,Orthoflavivirus nilense,10994,"Italy: Veneto region, Padova",Homo sapiens,2013-08
KF823807.1,West Nile virus,2015-01-29,Orthoflavivirus nilense,10331,"Italy: Veneto region, Padua",Homo sapiens,2013-09
KC954092.1,West Nile virus,2013-08-12,Orthoflavivirus nilense,10781,"Italy: Veneto region, Portogruaro",Homo sapiens,2012-09
KF823805.1,West Nile virus,2015-01-29,Orthoflavivirus nilense,11011,"Italy: Veneto region, Rovigo",Homo sapiens,2013-08
KF647248.1,West Nile virus,2013-12-08,Orthoflavivirus nilense,11013,"Italy: Veneto region, Rovigo",Homo sapiens,2013-08
KF647249.1,West Nile virus,2013-12-08,Orthoflavivirus nilense,10986,"Italy: Veneto region, Rovigo",Homo sapiens,2013-08
KF647250.1,West Nile virus,2013-12-08,Orthoflavivirus nilense,11013,"Italy: Veneto region, Rovigo",Homo sapiens,2013-08
KF647252.1,West Nile virus,2013-12-08,Orthoflavivirus nilense,10974,"Italy: Veneto region, Rovigo",Homo sapiens,2013-08
KF647253.1,West Nile virus,2013-12-08,Orthoflavivirus nilense,10483,"Italy: Veneto region, Rovigo",Homo sapiens,2013-08
KF588365.1,West Nile virus,2013-10-28,Orthoflavivirus nilense,10998,"Italy: Veneto region, Rovigo",Homo sapiens,2013-08
JQ928174.1,West Nile virus,2012-08-12,Orthoflavivirus nilense,10714,"Italy: Veneto region, Treviso",Homo sapiens,2011-09
JQ928175.1,West Nile virus,2012-08-12,Orthoflavivirus nilense,10477,"Italy: Veneto region, Treviso",Homo sapiens,2011-09
JX556213.1,West Nile virus,2012-09-12,Orthoflavivirus nilense,10736,"Italy: Veneto region, Venice province",Homo sapiens,2012-08-03
OP850023.1,West Nile virus,2023-06-05,Orthoflavivirus nilense,10960,Italy:Campania,Equus caballus,2022-10-03
OP850024.1,West Nile virus,2023-06-05,Orthoflavivirus nilense,10913,Italy:Emilia Romagna,,2022-08-04
OP850028.1,West Nile virus,2023-06-05,Orthoflavivirus nilense,10902,Italy:Emilia Romagna,Pica pica,2021-08-20
OP850029.1,West Nile virus,2023-06-05,Orthoflavivirus nilense,10915,Italy:Emilia Romagna,Sylvia atricapilla,2021-10-24
OP850026.1,West Nile virus,2023-06-05,Orthoflavivirus nilense,10913,Italy:Friuli Venezia Giulia,Culex pipiens,2022-09-01
OP850021.1,West Nile virus,2023-06-05,Orthoflavivirus nilense,10963,Italy:Lombardy,Corvus cornix,2022-09-12
OP850025.1,West Nile virus,2023-06-05,Orthoflavivirus nilense,10913,Italy:Piedmont,Anopheles maculipennis,2022-08-24
OP850027.1,West Nile virus,2023-06-05,Orthoflavivirus nilense,10873,Italy:Piedmont,Corvus cornix,2021-08-10
OP850022.1,West Nile virus,2023-06-05,Orthoflavivirus nilense,10966,Italy:Veneto,Pica pica,2022-08-12
KC243146.1,West Nile virus,2013-03-10,Orthoflavivirus nilense,10864,"Kenya: Ijara, North Eastern Province",Rhipicephalus pulchellus,2010-11-27
MZ190464.1,West Nile virus,2022-09-17,Orthoflavivirus nilense,10688,Kosovo,Homo sapiens,2018-09
MZ190465.1,West Nile virus,2022-09-17,Orthoflavivirus nilense,10500,Kosovo,Homo sapiens,2018-09
MZ190466.1,West Nile virus,2022-09-17,Orthoflavivirus nilense,10871,Kosovo,Homo sapiens,2018-09
MZ190467.1,West Nile virus,2022-09-17,Orthoflavivirus nilense,10762,Kosovo,Homo sapiens,2018-09
KU978767.1,West Nile virus,2017-03-25,Orthoflavivirus nilense,11040,Madagascar,Culex quinquefasciatus,1988-02-12
HM147823.1,West Nile virus,2011-04-21,Orthoflavivirus nilense,11051,Madagascar,,1988
DQ176636.2,West Nile virus,2006-09-01,Orthoflavivirus nilense,10866,Madagascar,Coracopsis vasa,1978
KU978769.1,West Nile virus,2017-03-25,Orthoflavivirus nilense,11040,Mexico,Corvus,2003-05-30
JN051152.1,West Nile virus,2011-09-04,Orthoflavivirus nilense,10998,Mexico,Corvus corax,2003-05
JN051153.1,West Nile virus,2011-09-04,Orthoflavivirus nilense,10998,Mexico,Corvus corax,2003-05
JX015518.1,West Nile virus,2012-11-21,Orthoflavivirus nilense,11001,"Mexico: Cuidad Juarez, Chihuahua State",Culex quinquefasciatus,2008-09-09
JX015520.1,West Nile virus,2012-11-21,Orthoflavivirus nilense,10949,"Mexico: Cuidad Juarez, Chihuahua State",Culex quinquefasciatus,2009-08-11
DQ080060.1,West Nile virus,2006-01-01,Orthoflavivirus nilense,10972,Mexico:Baja Calfornia Norte,Corvus,
DQ080063.1,West Nile virus,2006-01-01,Orthoflavivirus nilense,10975,Mexico:Baja Calfornia Norte,Columbidae,
DQ080064.1,West Nile virus,2006-01-01,Orthoflavivirus nilense,11001,Mexico:Baja Calfornia Norte,Fulica,
DQ080065.1,West Nile virus,2006-01-01,Orthoflavivirus nilense,10995,Mexico:Baja Calfornia Norte,Quiscalus,
DQ080066.1,West Nile virus,2006-01-01,Orthoflavivirus nilense,11001,Mexico:Baja Calfornia Norte,Phalacrocoracidae,
DQ080067.1,West Nile virus,2006-01-01,Orthoflavivirus nilense,11001,Mexico:Baja Calfornia Norte,Butorides virescens,
DQ080068.1,West Nile virus,2006-01-01,Orthoflavivirus nilense,11001,Mexico:Baja Calfornia Norte,Ardeidae,
DQ080071.1,West Nile virus,2006-01-01,Orthoflavivirus nilense,11000,Mexico:Florida,Equus caballus,
DQ080070.1,West Nile virus,2006-01-01,Orthoflavivirus nilense,11001,Mexico:Sonora,Quiscalus,
DQ080069.1,West Nile virus,2006-01-01,Orthoflavivirus nilense,10975,Mexico:Tamaulipas,Equus caballus,
AY701412.1,West Nile virus,2005-02-08,Orthoflavivirus nilense,10945,Morocco,Equus caballus,1996
AY701413.1,West Nile virus,2005-02-08,Orthoflavivirus nilense,10945,Morocco,Equus caballus,2003
MW383507.1,West Nile virus,2021-03-30,Orthoflavivirus nilense,10671,Namibia,Culex univittatus,2020
MW383508.1,West Nile virus,2021-03-30,Orthoflavivirus nilense,10886,Namibia,Culex univittatus,2020
KJ599821.1,West Nile virus,2015-03-31,Orthoflavivirus nilense,4237,Nepal,Homo sapiens,2009-10-29
KJ599823.1,West Nile virus,2015-03-31,Orthoflavivirus nilense,5576,Nepal,Homo sapiens,2010-10-06
MZ268007.1,West Nile virus,2022-09-18,Orthoflavivirus nilense,10816,Netherlands,Culex,2020-09
MW036633.1,West Nile virus,2020-10-26,Orthoflavivirus nilense,10790,Netherlands,Culex,2020-09
MW036634.1,West Nile virus,2020-10-26,Orthoflavivirus nilense,10979,Netherlands,Culex,2020-08
ON755223.1,West Nile virus,2022-10-18,Orthoflavivirus nilense,10931,Netherlands: Province of Utrecht,Gallus gallus,2020-10-18
OP762592.1,West Nile virus,2023-02-13,Orthoflavivirus nilense,10940,"Netherlands: Province of Utrecht, Haarzuilens",,2020-09-15
OP762593.1,West Nile virus,2023-02-13,Orthoflavivirus nilense,10940,"Netherlands: Province of Utrecht, Haarzuilens",Culex pipiens,2020-09-15
OP762594.1,West Nile virus,2023-02-13,Orthoflavivirus nilense,10940,"Netherlands: Province of Utrecht, Haarzuilens",,2020-09-15
OP762595.1,West Nile virus,2023-02-13,Orthoflavivirus nilense,10940,"Netherlands: Province of Utrecht, Haarzuilens",Phylloscopus collybita,2020-09-27
OP762596.1,West Nile virus,2023-02-13,Orthoflavivirus nilense,10790,"Netherlands: Province of Utrecht, Vleuten",Passer domesticus,2020-09-26
OP762597.1,West Nile virus,2023-02-13,Orthoflavivirus nilense,10944,"Netherlands: Province of Utrecht, Vleuten",Gallus gallus,2020-10-18
GQ851607.1,West Nile virus,2010-09-13,Orthoflavivirus nilense,10962,Nigeria,,1965
OR728658.1,West Nile virus,2023-11-08,Orthoflavivirus nilense,10470,Pakistan,Homo sapiens,2023
OP804520.1,West Nile virus,2023-05-22,Orthoflavivirus nilense,11003,Poland,Corvus cornix,2022-10
AM404308.1,West Nile virus strain PTRoxo,2007-10-16,Orthoflavivirus nilense,10979,Portugal,,
MH939153.1,West Nile virus,2019-10-09,Orthoflavivirus nilense,10948,Romania,Anopheles hyrcanus,2014
MH939154.1,West Nile virus,2019-10-09,Orthoflavivirus nilense,10976,Romania,Culex pipiens sensu lato,2014
KJ934710.1,West Nile virus,2014-10-12,Orthoflavivirus nilense,11013,Romania: Enisala,Hyalomma marginatum marginatum,2013-08-27
MN149538.1,West Nile virus,2020-02-29,Orthoflavivirus nilense,10991,Russia,Acrocephalus dumetorum,2006-05
KU978768.1,West Nile virus,2017-03-25,Orthoflavivirus nilense,11000,Russia,Hyalomma,1963
DQ411029.1,West Nile virus,2006-03-15,Orthoflavivirus nilense,10811,Russia,Phalacrocorax carbo,
DQ411030.1,West Nile virus,2006-03-15,Orthoflavivirus nilense,10811,Russia,Hyalomma marginatum,
DQ411031.1,West Nile virus,2006-03-15,Orthoflavivirus nilense,10811,Russia,Corvus cornix,
DQ411032.1,West Nile virus,2006-03-15,Orthoflavivirus nilense,10811,Russia,Columba livia,
DQ411033.1,West Nile virus,2006-03-15,Orthoflavivirus nilense,10811,Russia,Phalacrocorax carbo,
DQ411034.1,West Nile virus,2006-03-15,Orthoflavivirus nilense,10811,Russia,Anopheles messeae,
DQ411035.1,West Nile virus,2006-03-15,Orthoflavivirus nilense,10811,Russia,Anopheles messeae,
DQ374650.1,West Nile virus,2006-02-14,Orthoflavivirus nilense,10811,Russia,Phalacrocorax carbo,
DQ374651.1,West Nile virus,2006-02-14,Orthoflavivirus nilense,10811,Russia,Pica pica,
DQ374652.1,West Nile virus,2006-02-14,Orthoflavivirus nilense,10789,Russia,Corvus cornix,
DQ374653.1,West Nile virus,2006-02-14,Orthoflavivirus nilense,10811,Russia,Corvus cornix,
DQ377178.1,West Nile virus,2006-02-14,Orthoflavivirus nilense,10811,Russia,Hyalomma marginatum,
DQ377179.1,West Nile virus,2006-02-14,Orthoflavivirus nilense,10811,Russia,Corvus frugilegus,
DQ377180.1,West Nile virus,2006-02-14,Orthoflavivirus nilense,10811,Russia,Phalacrocorax carbo,
OP345101.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,11044,Russia: Astrakhan,Culex modestus,2021
JX041633.1,West Nile virus,2012-07-31,Orthoflavivirus nilense,10114,Russia: Astrakhan region,Hyalomma plumbeum plumbeum,1963
JX041634.1,West Nile virus,2012-07-31,Orthoflavivirus nilense,10998,Russia: Astrakhan region,Homo sapiens,1999
OP345100.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,11044,Russia: Dagestan,Culex pipiens,2021
OR159869.1,West Nile virus,2023-09-04,Orthoflavivirus nilense,10896,Russia: Kalmikia,Culex pipiens,2022
OR159870.1,West Nile virus,2023-09-04,Orthoflavivirus nilense,10980,Russia: Kalmikia,Culex pipiens,2022
OQ214888.1,West Nile virus,2023-06-13,Orthoflavivirus nilense,10901,Russia: Kalmikia,Culex pipiens,2022
OR159871.1,West Nile virus,2023-09-04,Orthoflavivirus nilense,10980,Russia: Karachay-Cherkessia,Culex modestus,2022
OP345099.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,11044,Russia: Rostov,Corvus frugilegus,2021
OP345104.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,11044,Russia: Rostov,Corvus frugilegus,2020
OR159873.1,West Nile virus,2023-09-04,Orthoflavivirus nilense,10959,Russia: Stavropol,Culex pipiens,2022
OQ214889.1,West Nile virus,2023-06-13,Orthoflavivirus nilense,10980,Russia: Stavropol,Culex pipiens,2022
OP345098.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,11044,Russia: Urupinsk,Anopheles maculipennis,2021
OR159872.1,West Nile virus,2023-09-04,Orthoflavivirus nilense,10980,Russia: Volgograd,Culex modestus,2022
OQ214890.1,West Nile virus,2023-06-13,Orthoflavivirus nilense,10980,Russia: Volgograd,Culex pipiens,2022
OQ214891.1,West Nile virus,2023-06-13,Orthoflavivirus nilense,10980,Russia: Volgograd,Culex pipiens,2022
OP345086.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,11044,Russia: Volgograd,Culex pipiens,2021
OP345087.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,11044,Russia: Volgograd,Culex pipiens,2021
OP345088.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,11044,Russia: Volgograd,Culex pipiens,2021
OP345089.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,11044,Russia: Volgograd,Culex pipiens,2021
OP345090.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,11029,Russia: Volgograd,Culex pipiens,2021
OP345091.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,11044,Russia: Volgograd,Culex pipiens,2021
OP345092.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,11044,Russia: Volgograd,Culex pipiens,2021
OP345093.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,11044,Russia: Volgograd,Culex pipiens,2021
OP345094.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,11044,Russia: Volgograd,Culex pipiens,2021
OP345095.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,11044,Russia: Volgograd,Culex modestus,2021
OP345096.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,11044,Russia: Volgograd,Culex modestus,2021
OP345097.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,11044,Russia: Volgograd,Hyalomma marginatum,2021
OP345102.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,11044,Russia: Volgograd,Coloeus monedula,2020
OP345103.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,11044,Russia: Volgograd,Podiceps cristatus,2020
OP345105.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,11043,Russia: Volgograd,Culex pipiens,2020
OP345106.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,11044,Russia: Volgograd,Culex pipiens,2020
OP345107.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,10966,Russia: Volgograd,Homo sapiens,2019
OP345108.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,10969,Russia: Volgograd,Culex pipiens,2019
FJ425721.1,West Nile virus,2008-12-08,Orthoflavivirus nilense,10980,Russia: Volgograd,Homo sapiens,2007
FJ159129.1,West Nile virus,2008-09-23,Orthoflavivirus nilense,10845,Russia: Volgograd,Uranotaenia,2006
FJ159130.1,West Nile virus,2008-09-23,Orthoflavivirus nilense,10845,Russia: Volgograd,Uranotaenia,2005
FJ159131.1,West Nile virus,2008-09-23,Orthoflavivirus nilense,10845,Russia: Volgograd,Uranotaenia,2005
MN812757.1,West Nile virus,2020-09-21,Orthoflavivirus nilense,10921,Russia: Volgograd region,Culex modestus,2018
MN812758.1,West Nile virus,2020-09-21,Orthoflavivirus nilense,10961,Russia: Volgograd region,Culex modestus,2018
MN812759.1,West Nile virus,2020-09-21,Orthoflavivirus nilense,11066,Russia: Volgograd region,Homo sapiens,2018
MN812760.1,West Nile virus,2020-09-21,Orthoflavivirus nilense,10942,Russia: Volgograd region,Homo sapiens,2018
MN812761.1,West Nile virus,2020-09-21,Orthoflavivirus nilense,10948,Russia: Volgograd region,Homo sapiens,2018
MN812762.1,West Nile virus,2020-09-21,Orthoflavivirus nilense,10662,Russia: Volgograd region,Homo sapiens,2018
MN619800.1,West Nile virus,2020-06-29,Orthoflavivirus nilense,10836,Russia: Volgograd region,Culex modestus,2018
MN619801.1,West Nile virus,2020-06-29,Orthoflavivirus nilense,11046,Russia: Volgograd region,Culex pipiens,2018
MN619802.1,West Nile virus,2020-06-29,Orthoflavivirus nilense,11043,Russia: Volgograd region,Culex pipiens,2018
MN619803.1,West Nile virus,2020-06-29,Orthoflavivirus nilense,11073,Russia: Volgograd region,Culex pipiens,2018
OP345085.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,11044,Russia: Voronezh,Culex pipiens,2021
OP846971.1,West Nile virus,2023-01-01,Orthoflavivirus nilense,10104,Senegal,Culex poicilipes,1989
OP846972.1,West Nile virus,2023-01-01,Orthoflavivirus nilense,10104,Senegal,Mastomys erythroleucus,1993
OP846973.1,West Nile virus,2023-01-01,Orthoflavivirus nilense,10104,Senegal,Culex neavei,1993
OP846974.1,West Nile virus,2023-01-01,Orthoflavivirus nilense,10104,Senegal,Culex neavei,1996
OP846975.1,West Nile virus,2023-01-01,Orthoflavivirus nilense,10104,Senegal,Aedes dalzieli,1996
OP846976.1,West Nile virus,2023-01-01,Orthoflavivirus nilense,10092,Senegal,Culex poicilipes,1989
OP846977.1,West Nile virus,2023-01-01,Orthoflavivirus nilense,10113,Senegal,Culex antennatus,1990
OP846978.1,West Nile virus,2023-01-01,Orthoflavivirus nilense,10104,Senegal,Culex neavei,2012
OP846979.1,West Nile virus,2023-01-01,Orthoflavivirus nilense,10104,Senegal,Culex neavei,2013
OP846980.1,West Nile virus,2023-01-01,Orthoflavivirus nilense,10104,Senegal,Culex neavei,2017
OP846981.1,West Nile virus,2023-01-01,Orthoflavivirus nilense,10104,Senegal,Homo sapiens,2018
OP846982.1,West Nile virus,2023-01-01,Orthoflavivirus nilense,10104,Senegal,Culex perfuscus,2016
OP870453.1,West Nile virus,2023-01-01,Orthoflavivirus nilense,10095,Senegal,Mansonia uniformis,1989
OP870454.1,West Nile virus,2023-01-01,Orthoflavivirus nilense,10095,Senegal,Culex antennatus,1989
OP870455.1,West Nile virus,2023-01-01,Orthoflavivirus nilense,10095,Senegal,Culex antennatus,1990
OP870456.1,West Nile virus,2023-01-01,Orthoflavivirus nilense,10095,Senegal,Culex neavei,1989
OP870457.1,West Nile virus,2023-01-01,Orthoflavivirus nilense,10095,Senegal,Culex neavei,1990
OP870458.1,West Nile virus,2023-01-01,Orthoflavivirus nilense,10095,Senegal,Culex tritaeniorhynchus,1990
OP870459.1,West Nile virus,2023-01-01,Orthoflavivirus nilense,10095,Senegal,Mansonia uniformis,1998
OP870460.1,West Nile virus,2023-01-01,Orthoflavivirus nilense,10095,Senegal,Culex antennatus,2003
OP870461.1,West Nile virus,2023-01-01,Orthoflavivirus nilense,10095,Senegal,Aedes vexans,2002
KY703854.1,West Nile virus,2017-11-15,Orthoflavivirus nilense,10302,Senegal,Culex poicilipes,1990
KY703855.1,West Nile virus,2017-11-15,Orthoflavivirus nilense,10302,Senegal,Rhipicephalus guilhoni,1993
KY703856.1,West Nile virus,2017-11-15,Orthoflavivirus nilense,10302,Senegal,Culex perfuscus,1992
GQ851606.1,West Nile virus,2010-09-13,Orthoflavivirus nilense,10951,Senegal,,1979
DQ318019.1,West Nile virus,2006-01-01,Orthoflavivirus nilense,11038,Senegal,,
ON813210.1,West Nile virus,2023-03-20,Orthoflavivirus nilense,10967,Senegal: Barkedji region,Culex neavei,2013
ON813211.1,West Nile virus,2023-03-20,Orthoflavivirus nilense,10968,Senegal: Barkedji region,Culex poicilipes,2016
ON813212.1,West Nile virus,2023-03-20,Orthoflavivirus nilense,10972,Senegal: Barkedji region,Culex neavei,2016
ON813213.1,West Nile virus,2023-03-20,Orthoflavivirus nilense,10967,Senegal: Barkedji region,Culex bitaeniorhynchus,2016
ON813214.1,West Nile virus,2023-03-20,Orthoflavivirus nilense,10960,Senegal: Barkedji region,Culex neavei,2012
ON813215.1,West Nile virus,2023-03-20,Orthoflavivirus nilense,10962,Senegal: Barkedji region,Culex perfuscus,2012
ON813216.1,West Nile virus,2023-03-20,Orthoflavivirus nilense,10959,Senegal: Barkedji region,Culex quinquefasciatus,2012
ON813219.1,West Nile virus,2023-03-20,Orthoflavivirus nilense,11000,Senegal: Barkedji region,Aedes vexans,2006
ON813217.1,West Nile virus,2023-03-20,Orthoflavivirus nilense,10822,Senegal: Thille Boubacar region,Culex antennatus,2006
ON813218.1,West Nile virus,2023-03-20,Orthoflavivirus nilense,11000,Senegal: Thille Boubacar region,Culex antennatus,2006
KX375812.1,West Nile virus,2017-03-15,Orthoflavivirus nilense,10359,Serbia,Homo sapiens,2013
KT757318.1,West Nile virus,2017-02-22,Orthoflavivirus nilense,10948,Serbia,Culex pipiens,2013
KT757319.1,West Nile virus,2017-02-22,Orthoflavivirus nilense,10948,Serbia,Culex pipiens,2013
KT757320.1,West Nile virus,2017-02-22,Orthoflavivirus nilense,10948,Serbia,Culex pipiens,2013
KT757321.1,West Nile virus,2017-02-22,Orthoflavivirus nilense,10948,Serbia,Culex pipiens,2013
KT757322.1,West Nile virus,2017-02-22,Orthoflavivirus nilense,10948,Serbia,Culex pipiens,2013
KT757323.1,West Nile virus,2017-02-22,Orthoflavivirus nilense,10948,Serbia,Culex pipiens,2013
KC496016.1,West Nile virus,2014-02-17,Orthoflavivirus nilense,11028,Serbia,Culex pipiens,2010
KC407673.1,West Nile virus,2013-04-01,Orthoflavivirus nilense,11028,Serbia,Accipiter gentilis,2012
MW751838.1,West Nile virus,2022-07-23,Orthoflavivirus nilense,10941,Serbia: Belgrade,Aves,2018-10-16
MW751837.1,West Nile virus,2022-07-23,Orthoflavivirus nilense,10941,Serbia: Curug,Falco tinnunculus,2018-06-25
MW751843.1,West Nile virus,2022-07-23,Orthoflavivirus nilense,10923,Serbia: Karavukovo,Culex pipiens,2018-07-26
MW751836.1,West Nile virus,2022-07-23,Orthoflavivirus nilense,10941,Serbia: Mali Idjos,Culex pipiens,2015-08-10
MW751841.1,West Nile virus,2022-07-23,Orthoflavivirus nilense,10923,Serbia: Novi Becej,Culex pipiens,2018-07-24
MW751839.1,West Nile virus,2022-07-23,Orthoflavivirus nilense,10941,Serbia: Novi Sad,Culex pipiens,2020-09-15
MW751840.1,West Nile virus,2022-07-23,Orthoflavivirus nilense,10941,Serbia: Novi Sad,Culex pipiens,2020-09-15
MW751845.1,West Nile virus,2022-07-23,Orthoflavivirus nilense,10941,Serbia: Opovo,Culex pipiens,2018-07-12
MW751844.1,West Nile virus,2022-07-23,Orthoflavivirus nilense,10923,Serbia: Sombor,Culex pipiens,2018-07-12
MW751835.1,West Nile virus,2022-07-23,Orthoflavivirus nilense,10923,Serbia: Subotica,Asio otus,2018-08-28
MW751842.1,West Nile virus,2022-07-23,Orthoflavivirus nilense,10941,Serbia: Subotica,Culex pipiens,2018-07-12
MW751846.1,West Nile virus,2022-07-23,Orthoflavivirus nilense,10941,Serbia: Subotica,Culex pipiens,2018-07-12
MW751834.1,West Nile virus,2022-07-23,Orthoflavivirus nilense,10923,Serbia: Temerin,Culex pipiens,2018-07-12
MW561633.1,West Nile virus,2021-08-18,Orthoflavivirus nilense,10964,Slovakia,Strix nebulosa lapponica,2018-11-16
MH244513.1,West Nile virus,2018-06-18,Orthoflavivirus nilense,11012,Slovakia: Secovce,Accipiter nisus,2013
MH244510.1,West Nile virus,2018-06-18,Orthoflavivirus nilense,11025,Slovakia: Velky Biel,Accipiter gentilis,2014
MH244511.1,West Nile virus,2018-06-18,Orthoflavivirus nilense,11026,Slovakia: Velky Biel,Accipiter gentilis,2013
MH244512.1,West Nile virus,2018-06-18,Orthoflavivirus nilense,11013,Slovakia: Velky Biel,Accipiter gentilis,2013
MK947396.1,West Nile virus,2020-11-29,Orthoflavivirus nilense,10317,Slovenia,Culicidae,2018
MK947397.1,West Nile virus,2020-11-29,Orthoflavivirus nilense,11017,Slovenia,Homo sapiens,2018-08-23
KM052152.1,West Nile virus,2014-10-05,Orthoflavivirus nilense,11014,South Africa,Equus caballus,1977
HM147822.1,West Nile virus,2011-04-21,Orthoflavivirus nilense,11065,South Africa,,1958
EF429197.1,West Nile virus SPU116/89,2008-02-29,Orthoflavivirus nilense,11052,South Africa,Homo sapiens,1989
EF429198.1,West Nile virus SA93/01,2008-02-29,Orthoflavivirus nilense,11052,South Africa,Homo sapiens,2001
EF429199.1,West Nile virus SA381/00,2008-02-29,Orthoflavivirus nilense,11052,South Africa,Homo sapiens,2000
EF429200.1,West Nile virus H442,2008-02-29,Orthoflavivirus nilense,11051,South Africa,Homo sapiens,1958
EU068667.1,West Nile virus,2007-08-20,Orthoflavivirus nilense,10305,South Africa,,
JN393308.1,West Nile virus,2013-08-26,Orthoflavivirus nilense,11042,"South Africa: Tiegerpoort, Pretoria",Equus caballus,2008-04-15
OR472391.1,West Nile virus,2023-10-10,Orthoflavivirus nilense,10962,Spain,Anopheles atroparvus,2021-08-30
OP643863.1,West Nile virus,2023-01-27,Orthoflavivirus nilense,10300,Spain,Culex perexiguus,2020
OP643864.1,West Nile virus,2023-01-27,Orthoflavivirus nilense,10300,Spain,Culex perexiguus,2021
